1,ED586970.pdf,"School districts must ensure that personally identifiable information is securely stored, processed, transmitted, and otherwise managed according to established standards (Consortium for School Networking, “Protecting Privacy in Connected Learning Toolkit,” 2014)."
1,ED586970.pdf,Identify and recognize risks and vulnerabilities as well as the interconnected nature of K-12 ecosystems.
1,ED586970.pdf,Design systems and services with a design-for-failure mindset
1,ED586970.pdf,Consider the benefits of a diverse combination of technologies and providers
1,ED586970.pdf,Leverage partnerships with agencies and external entities to improve security controls
1,ED586970.pdf,Establish a culture of vigilance and ongoing audit of those controls
1,ED586970.pdf,"Expand security resilience beyond cybersecurity into the design of processes, the organizational culture, and the executive suite"
1,ED586970.pdf,Establish and enforce an acceptable-use policy that provides enforceable guidance on what is and is not acceptable in the use of district IT assets
1,ED586970.pdf,"Establish data-sharing agreements that structure partner relationships with clear provisions for indemnification, data governance, security expectations, and  conditions for remedy or termination"
1,ED586970.pdf,Encourage a culture of collaboration by setting clear expectations for collaborative behavior within departmental routines
1,ED586970.pdf,Move to security embedded into services
1,ED586970.pdf,"Create incident response plans that clearly identify roles, communication protocols, and expectations for escalation to ensure incident resolution"
1,ED586970.pdf,Socialize IT staff to the importance of configuration and change management as well as asset tracking
1,ED586970.pdf,"Consider implementing a data center configuration management or Runbook tool to track high priority IT assets, their current configuration, and all changes made to these assets"
1,ED586970.pdf,Standardize IT assets and configurations wherever possible
1,ED586970.pdf,"Automate provisioning of IT assets, including initial configuration, changes, patches, and software updates"
1,ED586970.pdf,"Develop an initial disaster recovery plan, test its execution according to the documented plan, and update and improve the plan annually"
1,ED586970.pdf,Implement steps to increase IT resilience to reduce risks associated with disruptions
1,ED586970.pdf,"Participate in developing, reviewing, and updating the organization’s business continuity plan"
1,ED586970.pdf,Frequent and ongoing internal vulnerability assessments should be accompanied by periodic penetration testing (pen testing) performed by a trusted outside entity to uncover any vulnerabilities undetected by internal scans.
1,ED586970.pdf,Develop and implement identity management strategies and solutions for personalization and security management
1,ED586970.pdf,Educate all your stakeholders and users on the importance of network security
1,ED586970.pdf,Be diligent in monitoring the network or utilize a service provider who is
1,ED586970.pdf,Implement strong perimeter defense services and solutions
1,ED586970.pdf,Be proactive—research emerging technologies and implement best-of-breed solutions for perimeter defense and intrusion prevention
